NAME,NAME,OWNER,CATEGORY,STATUS,ISBOWLER,ISBATSMAN, MOM, 6+, HT
Sikandar Raza,Sikandar Raza,AARNAV,ALL,,FALSE,FALSE
Quinton De Kock,Q de Kock,ABHAYA,WK,,FALSE,FALSE
Kunal Singh Rathore,KS Rathore,ABHAYA,WK,,FALSE,FALSE
Matthew Wade,MS Wade,ABHAYA,WK,,FALSE,FALSE
Ishant Sharma,I Sharma,ABHAYA,BOW,,TRUE,FALSE
M Siddharth,M Siddharth,ABHAYA,BOW,,TRUE,FALSE
Mujeeb Ur Rahman,Mujeeb Ur Rahman,ABHAYA,BOW,,TRUE,FALSE
Ravichandran Ashwin,R Ashwin,ABHAYA,BOW,,TRUE,FALSE
Shardul Thakur,SN Thakur,ABHAYA,BOW,,TRUE,FALSE
Umesh Yadav,UT Yadav,ABHAYA,BOW,,TRUE,FALSE
Mukesh Choudhary,Mukesh Choudhary,ABHAYA,BOW,,TRUE,FALSE
Shubman Gill,Shubman Gill,ABHAYA,BAT,VCAPT,FALSE,TRUE
Ashton Turner,AJ Turner,ABHAYA,BAT,,FALSE,TRUE
Harpreet Singh Bhatia,Harpreet Singh,ABHAYA,BAT,,FALSE,TRUE
Ricky Bhui,RK Bhui,ABHAYA,BAT,,FALSE,TRUE
Sameer Rizvi,Sameer Rizvi,ABHAYA,BAT,,FALSE,TRUE
Ravindra Jadeja,RA Jadeja,ABHAYA,ALL,CAPT,FALSE,FALSE
Sunil Narine,SP Narine,ABHAYA,ALL,,FALSE,FALSE
Tom Curran,TK Curran,ABHAYA,ALL,,FALSE,FALSE
Dinesh Karthik,KD Karthik,ARYAN,WK,,FALSE,FALSE
MS Dhoni,MS Dhoni,ARYAN,WK,,FALSE,FALSE
Jasprit Bumrah,JJ Bumrah,ARYAN,BOW,VCAPT,TRUE,FALSE
Varun Chakaravarthy,CV Varun,ARYAN,BOW,,TRUE,FALSE
Alzarri Joseph,AS Joseph,ARYAN,BOW,,TRUE,FALSE
Kuldeep Sen,KR Sen,ARYAN,BOW,,TRUE,FALSE
Mayank Dagar,MJ Dagar,ARYAN,BOW,,TRUE,FALSE
Mukesh Kumar,Mukesh Kumar,ARYAN,BOW,,TRUE,FALSE
David Warner,DA Warner,ARYAN,BAT,CAPT,FALSE,TRUE
Devdutt Padikkal,D Padikkal,ARYAN,BAT,,FALSE,TRUE
Prithvi Shaw,PP Shaw,ARYAN,BAT,,FALSE,TRUE
SS Iyer,SS Iyer,ARYAN,BAT,,FALSE,TRUE
Ayush Badoni,A Badoni,ARYAN,BAT,,FALSE,TRUE
Phil Salt,PD Salt,ARYAN,BAT,,FALSE,TRUE
Andre Russell,AD Russell,ARYAN,ALL,,FALSE,FALSE
Mahipal Lomror,MK Lomror,ARYAN,ALL,,FALSE,FALSE
Pat Cummins,PJ Cummins,ARYAN,ALL,,FALSE,FALSE
Sam Curran,SM Curran,ARYAN,ALL,,FALSE,FALSE
Ishan Kishan,Ishan Kishan,ISHAAN,WK,,FALSE,FALSE
Jonny Bairstow,JM Bairstow,ISHAAN,WK,,FALSE,FALSE
Harshal Patel,HV Patel,ISHAAN,BOW,,TRUE,FALSE
Jayant Yadav,J Yadav,ISHAAN,BOW,,TRUE,FALSE
Mohsin Khan,Mohsin Khan,ISHAAN,BOW,,TRUE,FALSE
Trent Boult,TA Boult,ISHAAN,BOW,VCAPT,TRUE,FALSE
Yuzvendra Chahal,YS Chahal,ISHAAN,BOW,,TRUE,FALSE
Spencer Johnson,SH Johnson,ISHAAN,BOW,,TRUE,FALSE
Mayank Agarwal,MA Agarwal,ISHAAN,BAT,,FALSE,TRUE
Rohit Sharma,RG Sharma,ISHAAN,BAT,CAPT,FALSE,TRUE
Shimron Hetmyer,SO Hetmyer,ISHAAN,BAT,,FALSE,TRUE
Ashutosh Sharma,Ashutosh Sharma,ISHAAN,BAT,,FALSE,TRUE
Nehal Wadhera,N Wadhera,ISHAAN,BAT,,FALSE,TRUE
Tilak Varma,NT Tilak Varma,ISHAAN,BAT,,FALSE,TRUE
Hardik Pandya,HH Pandya,ISHAAN,ALL,,FALSE,FALSE
Marco Jansen,M Jansen,ISHAAN,ALL,,FALSE,FALSE
Moeen Ali,MM Ali,ISHAAN,ALL,,FALSE,FALSE
Rahul Tewatia,R Tewatia,ISHAAN,ALL,,FALSE,FALSE
Sanju Samson,SV Samson,KAUSHAL,WK,,FALSE,FALSE
Dhruv Jurel,DC Jurel,KAUSHAL,WK,,FALSE,FALSE
Jitesh Sharma,JM Sharma,KAUSHAL,WK,,FALSE,FALSE
Anrich Nortje,A Nortje,KAUSHAL,BOW,,TRUE,FALSE
Bhuvneshwar Kumar,B Kumar,KAUSHAL,BOW,,TRUE,FALSE
Deepak Chahar,DL Chahar,KAUSHAL,BOW,,TRUE,FALSE
Rahul Chahar,RD Chahar,KAUSHAL,BOW,,TRUE,FALSE
Gerald Coetzee,G Coetzee,KAUSHAL,BOW,,TRUE,FALSE
Suyash Sharma,Suyash Sharma,KAUSHAL,BOW,,TRUE,FALSE
KL Rahul,KL Rahul,KAUSHAL,BAT,CAPT,FALSE,TRUE
Abhinav Manohar,A Manohar,KAUSHAL,BAT,,FALSE,TRUE
Sai Sudharsan,B Sai Sudharsan,KAUSHAL,BAT,,FALSE,TRUE
Arshdeep Singh,RK Singh,KAUSHAL,BAT,,FALSE,TRUE
Abhishek Sharma,Abhishek Sharma,KAUSHAL,ALL,,FALSE,FALSE
Krunal Pandya,KH Pandya,KAUSHAL,ALL,,FALSE,FALSE
Liam Livingstone,LS Livingstone,KAUSHAL,ALL,,FALSE,FALSE
Mohammad Nabi,Mohammad Nabi,KAUSHAL,ALL,,FALSE,FALSE
Cameron Green,C Green,KAUSHAL,ALL,VCAPT,FALSE,FALSE
Anuj Rawat,Anuj Rawat,NONE,WK,,FALSE,FALSE
Abhishek Porel,Abishek Porel,NONE,WK,,FALSE,FALSE
Shai Hope,SD Hope,NONE,WK,,FALSE,FALSE
Tristan Stubbs,T Stubbs,NONE,WK,,FALSE,FALSE
Jaydev Unadkat,JD Unadkat,NONE,BOW,,TRUE,FALSE
Mustafizur Rahman,Mustafizur Rahman,NONE,BOW,,TRUE,FALSE
Kwena Maphaka,KT Maphaka,NONE,BOW,,TRUE,FALSE
Luke Wood,L Wood,NONE,BOW,,TRUE,FALSE
Mayank Yadav,MP Yadav,NONE,BOW,,TRUE,FALSE
Nandre Burger,N Burger,NONE,BOW,,TRUE,FALSE
Shams Mulani,SZ Mulani,NONE,BOW,,TRUE,FALSE
Vijaykumar Vyshak,V Vyshak,NONE,BOW,,TRUE,FALSE
Yash Dayal,Yash Dayal,NONE,BOW,,TRUE,FALSE
Angkrish Raghuvanshi,A Raghuvanshi,NONE,BAT,,FALSE,TRUE
Dewald Brevis,D Brevis,NONE,BAT,,FALSE,TRUE
Naman Dhir,Naman Dhir,NONE,BAT,,FALSE,TRUE
Arshdeep Singh,Ramandeep Singh,NONE,BAT,,FALSE,TRUE
Aiden Markram,AK Markram,NONE,ALL,,FALSE,FALSE
Anukul Roy,AS Roy,NONE,ALL,,FALSE,FALSE
Riyan Parag,R Parag,NONE,ALL,,FALSE,FALSE
Shahbaz Ahmed,Shahbaz Ahmed,NONE,ALL,,FALSE,FALSE
Azmatullah Omarzai,Azmatullah Omarzai,NONE,ALL,,FALSE,FALSE
Romario Shepherd,R Shepherd,NONE,ALL,,FALSE,FALSE
Arshdeep Singh,Shashank Singh,NONE,ALL,,FALSE,FALSE
Sumit Kumar,Sumit Kumar,NONE,ALL,,FALSE,FALSE
Heinrich Klaasen,H Klaasen,TEJAS,WK,,FALSE,FALSE
Rahmanullah Gurbaz,Rahmanullah Gurbaz,TEJAS,WK,,FALSE,FALSE
Amit Mishra,A Mishra,TEJAS,BOW,,TRUE,FALSE
Arshdeep Singh,Arshdeep Singh,TEJAS,BOW,,TRUE,FALSE
Mohammed Siraj,Mohammed Siraj,TEJAS,BOW,,TRUE,FALSE
Ravi Bishnoi,Ravi Bishnoi,TEJAS,BOW,,TRUE,FALSE
T Natarajan,T Natarajan,TEJAS,BOW,,TRUE,FALSE
Arjun Tendulkar,AS Tendulkar,TEJAS,BOW,,TRUE,FALSE
Ajinkya Rahane,AM Rahane,TEJAS,BAT,,FALSE,TRUE
Rajat Patidar,RM Patidar,TEJAS,BAT,,FALSE,TRUE
Yashasvi Jaiswal,YBK Jaiswal,TEJAS,BAT,CAPT,FALSE,TRUE
Rovman Powell,R Powell,TEJAS,BAT,,FALSE,TRUE
Travis Head,TM Head,TEJAS,BAT,,FALSE,TRUE
Deepak Hooda,DJ Hooda,TEJAS,ALL,,FALSE,FALSE
Glenn Maxwell,GJ Maxwell,TEJAS,ALL,VCAPT,FALSE,FALSE
Lalit Yadav,Lalit Yadav,TEJAS,ALL,,FALSE,FALSE
Venkatesh Iyer,VR Iyer,TEJAS,ALL,,FALSE,FALSE
Daryl Mitchell,DJ Mitchell,TEJAS,ALL,,FALSE,FALSE
Jos Buttler,JC Buttler,VIGGY,WK,,FALSE,FALSE
Prabhsimran Singh,Prabhsimran Singh,VIGGY,WK,,FALSE,FALSE
Karn Sharma,KV Sharma,VIGGY,BOW,,TRUE,FALSE
Khaleel Ahmed,KK Ahmed,VIGGY,BOW,,TRUE,FALSE
Mayank Markande,M Markande,VIGGY,BOW,,TRUE,FALSE
Piyush Chawla,PP Chawla,VIGGY,BOW,,TRUE,FALSE
Matheesha Pathirana,M Pathirana,VIGGY,BOW,,TRUE,FALSE
Maheesh Theekshana,M Theekshana,VIGGY,BOW,,TRUE,FALSE
Naveen-Ul-Haq,Naveen-ul-Haq,VIGGY,BOW,,TRUE,FALSE
Tushar Deshpande,TU Deshpande,VIGGY,BOW,,TRUE,FALSE
Abdul Samad,Abdul Samad,VIGGY,BAT,,FALSE,TRUE
Faf du Plessis,F du Plessis,VIGGY,BAT,CAPT,FALSE,TRUE
Nitish Rana,N Rana,VIGGY,BAT,,FALSE,TRUE
Rahul Tripathi,RA Tripathi,VIGGY,BAT,,FALSE,TRUE
Rashid Khan,Rashid Khan,VIGGY,ALL,VCAPT,FALSE,FALSE
Shivam Dube,S Dube,VIGGY,ALL,,FALSE,FALSE
Vijay Shankar,V Shankar,VIGGY,ALL,,FALSE,FALSE
Atharva Taide,A Taide,VIGGY,ALL,,FALSE,FALSE
